1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,56340PLRTN12810,110000594839,POLAR TANK TRAILER,12810 COUNTY ROAD 17,HOLDINGFORD,STEARNS,MN,56340,,,45.746371,-94.371774,NAD83,AIPCF V,NA,AIPCF V,NA,,NA,NO,336,Transportation Equipment,,,,,,,336212,,,,,,1323221642337,Manganese,NO,0007439965,7439-96-5,149625,YES,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,16.000,0.000,0.000,11.000,5.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,21.000,,PRODUCTION,0.960
2023,55108CMSTN258EN,110003810644,CEMSTONE - MIDWAY,2058 ENERGY PARK DR,SAINT PAUL,RAMSEY,MN,55108,,,44.973570,-93.187960,NAD83,CEMSTONE PRODUCTS CO,NA,CEMSTONE PRODUCTS CO,NA,,NA,NO,327,Nonmetallic Mineral Product,,,,,,,327320,,,,,,1323221936913,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,N511,N511,649616,NO,TRI,NO,May contain metal,NO,NO,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,229.820,0.000,229.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,229.820,0.000,0.000,229.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,229.820,,PRODUCTION,0.790
2023,55060VRCNN800PA,110000423836,VIRACON LLC,800 PARK DR,OWATONNA,STEELE,MN,55060,,,44.089700,-93.248500,NAD83,APOGEE ENTERPRISES INC,001962042,APOGEE ENTERPRISES INC,NA,,NA,NO,327,Nonmetallic Mineral Product,,,,,,,327215,,,,,,1323221731399,Certain glycol ethers,NO,N230,N230,649541,YES,TRI,NO,May contain metal,NO,NO,NO,R,Pounds,0.000,16000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1840.000,0.000,0.000,0.000,0.000,0.000,1840.000,0.000,1840.000,16000.000,0.000,0.000,16000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1840.000,17840.000,,PRODUCTION,1.040
2023,55350MMGMDHIGHW,110000425059,3M CO-HUTCHINSON,905/915 ADAMS ST SE,HUTCHINSON,MCLEOD,MN,55350,,,44.879677,-94.359598,NAD83,3M CO,006173082,3M CO,NA,,NA,NO,326,Plastics and Rubber,,,,,,,326199,322230,327910,,,,1323221820970,Toluene,NO,0000108883,108-88-3,25452,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,1444.000,100179.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,101623.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11734.000,0.000,0.000,0.000,0.000,11734.000,0.000,0.000,0.000,0.000,90181.000,0.000,0.000,0.000,0.000,90181.000,0.000,101915.000,101623.000,0.000,0.000,101623.000,0.000,0.000,0.000,0.000,246111.000,11734.000,995515.000,90181.000,1445164.000,,PRODUCTION,0.870
2023,55060TRTHH700WB,110000742803,TRUTH HARDWARE CORP-OWATONNA,700 W BRIDGE ST,OWATONNA,STEELE,MN,55060,,,44.084360,-93.243990,NAD83,TYMAN PLC,NA,TYMAN PLC,TYMAN PLC,NA,TYMAN PLC,NO,332,Fabricated Metals,,,,,,,332510,,,,,,1323222096808,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.900,0.000,0.000,0.000,37.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.900,0.015,0.000,0.000,0.015,0.000,0.000,0.000,0.000,43.000,37.900,0.000,0.000,80.915,,PRODUCTION,0.920
2023,5534WCMLBS1VALL,110003742059,APEX INTERNATIONAL MFG,10000 VALLEY VIEW RD,EDEN PRAIRIE,HENNEPIN,MN,55344,,,44.871730,-93.403470,NAD83,APEX INTERNATIONAL MFG INC,NA,APEX INTERNATIONAL MFG INC,NA,,NA,NO,325,Chemicals,,,,,,,325611,,,,,,1323222178891,Zinc compounds,NO,N982,N982,649699,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,298.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,298.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28337.000,0.000,28337.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28337.000,28635.000,0.000,0.000,298.000,0.000,28337.000,0.000,0.000,0.000,0.000,0.000,0.000,28635.000,,PRODUCTION,0.640
2023,55421CFNSH5100I,110000425718,ECO FINISHING,5100 INDUSTRIAL BLVD,FRIDLEY,ANOKA,MN,55421,,,45.061750,-93.276840,NAD83,NA,,NA,NA,,NA,NO,332,Fabricated Metals,,,,,,,332813,,,,,,1323221899709,Zinc compounds,NO,N982,N982,649699,NO,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,165.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,165.000,113.500,0.000,113.500,0.000,39726.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,39839.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,39839.500,40004.500,0.000,0.000,165.000,0.000,39839.500,0.000,0.000,0.000,0.000,0.000,0.000,40004.500,,PRODUCTION,0.970
2023,5598WMLLRW152E8,110071041104,MILLER WASTE MILLS DBA RTP CO,1520 E 8TH ST,WINONA,WINONA,MN,55987,,,44.036814,-91.602649,NAD83,MILLER WASTE MILLS,006150023,MILLER WASTE MILLS,NA,,NA,NO,325,Chemicals,,,,,,,325991,,,,,,1323222202083,Antimony compounds,NO,N010,N010,649921,YES,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,250.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,255.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,606.000,0.000,0.000,0.000,0.000,0.000,0.000,606.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,606.000,861.000,0.000,0.000,255.000,606.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,861.000,,PRODUCTION,0.890
2023,55164KCHRFPOBOX,110000424611,FLINT HILLS RESOURCES PINE BEND LLC,13775 CLARK RD,ROSEMOUNT,DAKOTA,MN,55068,,,44.764434,-93.039484,NAD83,KOCH INDUSTRIES INC,006944334,KOCH INDUSTRIES INC,NA,,NA,NO,324,Petroleum,,,,,,,324110,,,,,,1323221897465,Dibenzofuran,NO,0000132649,132-64-9,35709,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.000,550.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,657.000,1207.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,1211.000,0.000,0.000,1207.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1211.000,,PRODUCTION,0.970
2023,55303HFFMN900EH,110002151439,NVENT HOFFMAN,2100 HOFFMAN WAY,ANOKA,ANOKA,MN,55303,,,45.199490,-93.373160,NAD83,NVENT ELECTRIC PLC,004460671,NVENT ELECTRIC PLC,NVENT ELECTRIC PLC,985690696,NVENT ELECTRIC PLC,NO,332,Fabricated Metals,,,,,,,332322,,,,,,1323222161844,Styrene,NO,0000100425,100-42-5,19414,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,0.920,1832.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1833.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1833.000,0.000,0.000,1833.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1833.000,,ACTIVITY,0.940
